,var_ave,var_var,ave_ave,ave_var
1990年,0.19008044519056316,0.009375879837154757,997.305628945496,431.0196850630982
1995年,0.1885792467004651,0.009024771619658688,998.228302280329,132.11714053818724
2000年,0.19014980354360544,0.009395810715022367,994.0027995471535,453.210883470269
2005年,0.19114452015099556,0.009391450263580889,993.9572445552318,472.43992661433225
2010年,0.18769910136529697,0.008926422632942362,997.0532898836383,169.59406003971182
