1990,0.019,0.003,Okinawa,23.6
1995,0.013,0.002,Okinawa,35.5
2000,0.006,0,Okinawa,24.3
2005,0.027,0.001,Okinawa,21.5
2010,0.022,0.001,Okinawa,16.7
