,var_ave,var_var,ave_ave,ave_var
1990年,0.18906070332880623,0.009244952270892044,4.0234033534672475,2.6579232469376213
1995年,0.18831123159829144,0.009058619528074529,3.526400299470676,1.953114961891813
2000年,0.1863697689470775,0.00871507976080661,3.39027281864731,1.3075030961064076
2005年,0.190030725148401,0.00917640449806397,3.581259866761175,2.1763859358022724
2010年,0.1885556193431202,0.009116902196398685,3.2259698469405644,1.0133329485944682
