,var_ave,var_var,ave_ave,ave_var
1990年,0.18571711486727144,0.008687274135699197,20.944918997155362,67.58786065990697
1995年,0.18745397722508217,0.008905409090725727,20.10038150815658,56.91800688503005
2000年,0.1888193468670518,0.009048240487907314,21.179327882946136,59.00234526870559
2005年,0.18675753573875284,0.008819205963749617,21.17001444408183,78.97022063293024
2010年,0.1875014063783177,0.008903030513090722,21.268356313048134,62.905295243031695
