,var_ave,var_var,ave_ave,ave_var
1990,0.18986248746646767,0.00923532542347043,998.1902821970715,434.0400849199672
1995,0.18755311076802936,0.00891834870302119,1001.9481269004569,312.8275398495466
2000,0.18792389036656837,0.00889388841418477,1001.4872592153579,173.0033355831879
2005,0.1905694866936902,0.00942005986253142,997.65473564183,655.3077583191864
2010,0.18827528689710737,0.008989696858583933,1000.173565926071,324.2095153326601
1990,0.19627127100114386,0.010600056133496003,66.6039433335265,43.65025796122705
1995,0.18623601866365747,0.008783343781671882,66.62983464169604,64.10265439663858
2000,0.18868716203841543,0.008995637068727186,65.6187425761281,46.425176847575884
2005,0.18870759040741342,0.009048197841637075,62.46522626766427,66.23373211718024
2010,0.1865956313662567,0.00880591399547468,63.22172343074271,60.233432649888215
1990,0.18968376040681276,0.009554792586389967,17.547423245386597,65.54405138628887
1995,0.19104188876051006,0.009436161450502929,16.06887707832435,55.87277743388368
2000,0.1886934011751928,0.009109537755930801,16.865302118334576,60.85821656153125
2005,0.19463771784871112,0.01021404001125566,17.14597561270198,69.33753768473561
2010,0.18929566528907785,0.009203999587636763,17.089337825299243,62.45036049508511
1990,0.18571711486727144,0.008687274135699197,20.944918997155362,67.58786065990697
1995,0.18745397722508217,0.008905409090725727,20.10038150815658,56.91800688503005
2000,0.1888193468670518,0.009048240487907314,21.179327882946136,59.00234526870559
2005,0.18675753573875284,0.008819205963749617,21.17001444408183,78.97022063293024
2010,0.1875014063783177,0.008903030513090722,21.268356313048134,62.905295243031695
1990,0.1871769848527846,0.0088532398860626,14.013353161174434,55.116382146449396
1995,0.18789180773460057,0.008949180948551164,12.899516749606239,64.03746351407285
2000,0.19431411268011242,0.010308008290799236,13.60516218914555,60.90799917286656
2005,0.19313480820746895,0.01020420841229293,13.688146046786004,72.468486253209
2010,0.18817569357240035,0.008980280858962438,14.111910908617295,70.69056263610258
1990,0.18816125242472556,0.009114239197875244,14.921432502628074,55.726407377631205
1995,0.18822096025461874,0.00904826998460379,14.373380766266717,68.43879847330948
2000,0.18943261714036147,0.009096871724695442,14.531674582154372,55.45583937502855
2005,0.19012574630923582,0.009272926998951535,14.376023591605101,62.57942518979967
2010,0.18682637106344466,0.0087978422663908,14.451163628459213,53.91263927144339
1990,0.19271154816862351,0.009853953360961946,3.047026020960386,1.919161958481113
1995,0.1884209517087427,0.009133409474304058,2.9934229014537816,1.5343101441674822
2000,0.19220047064766724,0.009966420974756472,2.9722880461076007,2.2732169481016427
2005,0.18791464574319428,0.00899546570744446,2.9179089626460804,1.4770631176239704
2010,0.18993127304719198,0.009422322566699427,,
1990,0.18924541417591795,0.009172254766211295,932.9318764031393,288.7863251999958
1995,0.18983067763091946,0.009278059014134313,928.2440315794126,417.3264697387341
2000,0.1888475152967654,0.00901977713539987,931.5006979991286,129.22095308049234
2005,0.18870079185744262,0.009074640075434142,930.5893260875382,278.57625264924854
2010,0.190486138735928,0.00947963845796771,927.1728262222446,710.1848218690684
1990,0.1887906592428612,0.009126614605179799,69.25617530492713,66.05972562730577
1995,0.19068495030055654,0.009544507340357507,66.95081711985438,43.628823916817126
2000,0.1887827365722768,0.009321809822045531,67.21088725481579,48.67425201955856
2005,0.18714252803188244,0.008862918063366363,64.08518954419714,48.13844914746301
2010,0.19049615546498475,0.009214732411359684,63.92101228988222,43.55479191182437
1990,0.18705751731346582,0.008845417031370898,12.412582472901589,74.6954322661276
1995,0.1902139153078243,0.009262477922616422,11.24794487802186,81.51285865639503
2000,0.1882556001087874,0.008934892860966945,12.350645028505491,88.26132829722773
2005,0.1883970615941168,0.009048700921859635,11.59934364316178,85.88763132673047
2010,0.18837181996996505,0.009038465438753696,12.405271231507792,91.39755407629251
1990,0.19089304037787377,0.009409272673921108,18.51091016679733,94.50287449272886
1995,0.18780225077709373,0.0089348072123477,16.85839183493079,79.56668422244165
2000,0.18758418657154066,0.008974117590545233,17.99441170234355,93.51007379975165
2005,0.18901558680983607,0.009154431314645405,18.07487079369894,81.2928653019297
2010,0.18759284133476248,0.008924122231025068,18.369510746318948,95.81067553482318
1990,0.1881746505327033,0.009081156333189065,7.653376720055621,73.3498301176676
1995,0.18802488314912752,0.008952608966526311,5.946678305026908,91.73096454595033
2000,0.18880183941258816,0.00917136336111496,7.106947211133256,80.25005817847524
2005,0.1874341104031202,0.008856432189661216,7.25022953255158,89.88546476806351
2010,0.1879794737833594,0.009021270219754853,7.754739702321721,85.03909164701165
1990,0.1867256299980008,0.008820986211314606,11.573462363264682,36.108608731322896
1995,0.18909274529617665,0.00914142998730693,10.971887482076006,44.22746331597513
2000,0.18756030001863594,0.008896068529711337,10.8213268958026,42.46466508866082
2005,0.1874072310362622,0.008886502672488803,10.393222314316944,45.05720603455187
2010,0.18945271884340695,0.00932253209856954,11.12806380099925,48.654819450564844
1990,0.19130172493713246,0.009804879118967007,2.6984364685448425,2.225285433679208
1995,0.1875658145337261,0.00889608699617311,2.639015730203114,1.5364853982190196
2000,0.1899813088278524,0.009463780669608847,,
2005,0.18812717123797945,0.00909945885573384,2.268559531025645,1.2427639939413722
2010,0.19553466436985775,0.010305770643773313,,
1990,0.1875716901177029,0.0089989983092519,994.9287539201632,444.2412027222505
1995,0.1878431336818567,0.008936169950650004,996.2606684113872,240.88379227191194
2000,0.19208423424935728,0.009876532208817153,987.0666651805806,1234.5469389464326
2005,0.1868354106853783,0.008801066685250465,997.8579608543395,189.05540931524393
2010,0.18798144763650007,0.008974738793114886,994.2782808596439,370.4129141260136
1990,0.19755793820063672,0.011721558789593295,72.43447008950156,66.35532884329606
1995,0.1875903682171251,0.008914083794637906,73.89416516940028,92.42097814816844
2000,0.18961142401734749,0.009492048205026572,74.26753974953274,41.407768814117624
2005,0.188715842847265,0.00916076031083529,67.93687718416162,60.624587965582684
2010,0.1867568631740253,0.00879709644627775,73.03304311493514,60.67265513825869
1990,0.19181347373585766,0.00955542315915569,22.65861799779861,20.66587094535325
1995,0.18748258562666686,0.008910281285600088,22.12565128965103,25.573644248175427
2000,0.2033529468628457,0.014333894731046487,22.33526700601741,25.90480582699968
2005,0.18810228438750717,0.00900057126622686,22.865821106166354,23.857644380493785
2010,0.19007702382040922,0.009209372190365632,22.755124875661668,20.734768543333956
1990,0.19096752916390675,0.009353603290035106,25.360320433980327,21.435823904332512
1995,0.1871708455045515,0.008831257724487005,24.78293544065053,25.14713197630522
2000,0.192665404171525,0.009616683145065134,25.06693852362955,15.808636225794933
2005,0.1943754531786145,0.010344876213410315,25.17380569156512,27.60738959329323
2010,0.1875901946787099,0.008898773935694977,25.499780004042886,17.69818274242698
1990,0.19047651720415654,0.009285356300044574,20.746180803032825,18.85194883273366
1995,0.1892416218603622,0.00912608948865402,20.286418691557234,24.888414097774277
